종사자수_총소계,연간급여_합계,건물소유면적,건물임차면적,건물무상면적,건물합계면적,매출액,영업비용,인건비,임차료,기타영업비용,영업이익,사업체승수,종사자승수,매출액승수
31,1137,21759,620,,22379,3278,3832,1385,27,2420,-554,1.16667,1.26203,1.1059912
31,323,2620,451,,3071,1191,1741,360,180,1201,-550,1,1,1
12,587,,132,,132,1146,1694,650,96,948,-548,4.72222,4.25726,3.6092322
10,110,,2079,,2079,794,1338,142,24,1172,-544,1,1,1
9,135,,339,,339,450,991,136,136,719,-541,9.5,8.98,7.6491433
11,229,1437,,,1437,137,675,240,3,432,-538,1,1,1
64,1262,,5610,,5610,4988,5524,1392,561,3571,-536,1,1,1
168,814,,50700,,50700,21492,22026,1036,467,20523,-534,1,1,1
22,489,915,,,915,1833,2364,604,0,1760,-531,12,10.8,10.0652812
19,489,,584,,584,1791,2318,589,31,1698,-527,7.9375,7.21429,6.1277767
62,1785,4948,,,4948,10103,10621,2191,17,8413,-518,1,1,1
37,373,,1320,,1320,1893,2410,410,314,1686,-517,2.33333,2.38356,2.6051628
45,2280,1364,,,1364,12404,12919,3129,27,9763,-515,1,1,1
20,1048,26227,,,26227,3021,3532,1276,25,2231,-511,1,1,1
68,1794,21100,,,21100,5146,5657,2226,1437,1994,-511,1,1,1
58,1630,21579,,,21579,3955,4460,1974,0,2486,-505,1,1,1
60,1182,,3300,,3300,4673,5175,1304,526,3345,-502,1,1,1
85,2043,15023,,,15023,4999,5498,2389,2,3107,-499,1,1,1
131,5172,22907,8990,,31897,16921,17419,6353,439,10627,-498,1,1,1
3,151,,,,,410,908,194,13,701,-498,49.62857,38.95,18.9473352
17,253,8250,,,8250,669,1165,296,23,846,-496,1,1,1
37,160,,638,,638,1655,2148,711,147,1290,-493,1.14286,1.1097,1.0942677
13,350,,5147,,5147,317,807,361,15,431,-490,1.33333,1.29545,1.0005879
53,2007,44144,1366,,45510,8582,9069,2460,45,6564,-487,1,1,1
13,323,,396,,396,702,1185,337,210,638,-483,7.9375,7.21429,6.1277767
24,903,6363,,,6363,3299,3781,1035,76,2670,-482,1,1,1
22,642,4184,,,4184,1528,2005,864,5,1136,-477,1,1,1
50,943,,917,,917,2140,2617,1024,413,1180,-477,1,1,1
56,1204,207,,,207,2918,3390,1286,39,2065,-472,1,1,1
5,202,1980,,,1980,326,792,241,0,551,-466,1.5,1.4878,1.7686833
22,348,,1353,,1353,1171,1635,456,255,924,-464,1,1,1
8,210,,1119,,1119,2621,3084,215,616,2253,-463,3.33333,3.02273,1.5185888
28,457,132,,,132,1876,2331,498,5,1828,-455,8.55556,7.33218,10.9044811
22,431,,990,,990,1543,1990,454,123,1413,-447,5.66667,5.41108,5.5906703
55,2309,17809,,,17809,5165,5612,2809,74,2729,-447,1,1,1
13,518,,,,,999,1441,631,117,693,-442,19.42105,19.93697,24.8839466
20,381,,1230,,1230,915,1355,407,397,551,-440,3.94595,3.60105,3.7406611
2,61,5610,,,5610,192,627,71,1,555,-435,58.78125,54.65714,55.7782768
75,1521,,31000,,31000,4362,4796,1888,1218,1690,-434,1,1,1
27,603,1396,,,1396,1241,1673,673,30,970,-432,1,1,1
30,432,,1485,,1485,888,1318,432,58,828,-430,1.75,1.76052,1.5218607
7,358,,26,,26,1586,2015,454,189,1372,-429,61.66667,65.88571,32.1558699
48,1185,5690,,,5690,2134,2555,1467,0,1088,-421,1,1,1
28,715,,2310,,2310,1919,2338,752,417,1169,-419,1,1,1
8,288,,1300,,1300,699,1117,299,150,668,-418,1.5,1.47222,1.2402863
14,445,,76,,76,1064,1482,504,96,882,-418,1.66667,1.82857,1.867111
5,113,,23,,23,1214,1630,122,8,1500,-416,7.04,6.93168,6.1122422
27,479,,1066,,1066,1665,2079,570,325,1184,-414,3.83721,3.24536,3.714122
2,105,,23788,,23788,6600,7011,137,0,6874,-411,42.40625,33.72308,8.0165457
7,519,,364,,364,549,956,545,197,214,-407,4.25,4.29167,3.780027
35,1518,32577,,,32577,3349,3755,1995,,1760,-406,1,1,1
5,138,,323,,323,290,696,139,18,539,-406,5.05882,4.88034,4.3944745
72,2164,17556,,,17556,11220,11625,2763,1786,7076,-405,1,1,1
21,423,,56,,56,1156,1561,445,333,783,-405,3.78846,3.19694,3.2878759
35,890,15748,,,15748,1535,1937,1104,,833,-402,1,1,1
20,270,2477,,,2477,866,1267,289,4,974,-401,1,1,1
35,643,,5414,,5414,2621,3019,704,842,1473,-398,1,1,1
3,272,,253,,253,1,397,323,26,48,-396,95,74.80952,92.2119565
95,4064,24866,,,24866,10034,10430,5005,56,5369,-396,1,1,1
43,305,,825,,825,603,997,325,34,638,-394,1,1,1
5,338,,300,,300,1413,1806,419,188,1199,-393,29.26471,28.62381,24.4345744
15,349,3500,,,3500,815,1207,433,11,763,-392,1,1,1
25,685,13398,2279,,15677,6572,6956,900,3432,2624,-384,1,1,1
55,334,,9911,,9911,2052,2436,367,905,1164,-384,1,1,1
12,358,264,,,264,736,1118,369,83,666,-382,2.26087,2.22727,2.455537
27,302,,350,,350,530,912,345,36,531,-382,1.25,1.24211,1.2805479
36,1153,,11500,,11500,4012,4391,1471,723,2197,-379,1.25,1.39167,1.2116484
14,285,,100,,100,1810,2189,334,177,1678,-379,1,1,1
10,316,2640,,,2640,654,1031,354,2,675,-377,1.57143,1.55556,1.1282571
21,1090,,220,,220,4254,4631,1464,124,3043,-377,3.78846,3.19694,3.2878759
4,51,330,,,330,351,727,56,24,647,-376,89.04167,70.87302,42.9411123
33,973,2310,,,2310,2771,3143,1244,26,1873,-372,1,1,1
16,398,5900,,,5900,7190,7556,513,3340,3703,-366,2.14286,2.0678,1.530638
19,559,,5967,,5967,4425,4786,654,1981,2151,-361,1,1,1
21,736,792,,,792,2121,2480,897,17,1566,-359,1,1,1
21,572,,1522,,1522,1744,2103,605,143,1355,-359,1.5,1.47537,1.2057606
23,738,19655,,,19655,2127,2485,899,17,1569,-358,1,1,1
25,716,,155,,155,1781,2138,836,334,968,-357,1.16667,1.15441,1.0803571
18,642,4926,1319,,6245,1603,1957,690,0,1267,-354,2.14286,2.0678,1.530638
13,260,,2225,,2225,6281,6633,293,1248,5092,-352,7.92308,7.91071,4.161237
11,195,340,,,340,339,687,195,0,492,-348,1.14286,1.14607,1.010101
7,182,750,,,750,327,674,188,0,486,-347,1.71429,1.70455,1.6301754
62,781,19542,,,19542,1866,2212,941,25,1246,-346,1,1,1
33,1089,,,,,2843,3189,1263,273,1653,-346,11,9.9396,12.6064277
68,783,,31643,,31643,3540,3885,1033,237,2615,-345,1,1,1
11,14,2488,0,0,2488,6,349,15,284,50,-343,1,1,1
6,400,,281,,281,734,1073,436,40,597,-339,18.25,18.04762,14.5846916
15,279,7841,,,7841,378,713,314,42,357,-335,1.57143,1.55556,1.1282571
4,91,,16,,16,971,1305,99,6,1200,-334,26.25,22.20548,13.1778426
36,2427,,4399,,4399,5416,5749,3008,0,2741,-333,6.06061,5.15775,4.8206728
14,112,,231,,231,118,449,124,176,149,-331,1,1,1
37,675,18154,749,,18903,1945,2274,823,16,1435,-329,1.16667,1.12644,1.0852048
21,754,6629,,,6629,2705,3026,899,2,2125,-321,1,1,1
7,244,4194,,,4194,576,893,269,28,596,-317,1,1,1
41,185,660,,,660,2228,2543,198,1137,1208,-315,1.16667,1.19079,1.0577374
18,640,,198,,198,12547,12862,878,1508,10476,-315,1,1,1
32,596,1260,,,1260,1608,1919,707,39,1173,-311,1,1,1
11,280,2475,,,2475,500,808,314,20,474,-308,1.57143,1.55556,1.1282571
23,643,594,,,594,3343,3650,738,212,2700,-307,3.78846,3.19694,3.2878759
23,643,,330,,330,3343,3650,738,212,2700,-307,1,1,1
